kladr_code;tpi;fo;fo_tpi
03000000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03021000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03018001;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03011000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03000002;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03006000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03010000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03013000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03014000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03007001;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03002000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03003000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03022000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03018000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03020000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03012000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03019000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03017000;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
03009002;Республика Бурятия - Прочие;Сибирский ФО;Сибирский ФО: Республика Бурятия - Прочие
05005000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05010000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05037000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05000007;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05007000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05033000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05017000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05039000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05018000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05000000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05028000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05026000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05006000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05027000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05013000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05020000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05035000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05034000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05008000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05025000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05030000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05011000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05015000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05000002;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05000005;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05019000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05032000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05000003;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05003000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05000008;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05023000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05009000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05041000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05031000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05012000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05040000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05004000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05014000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05024000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05022000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05016000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05029000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05036000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05002000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05043000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
05038000;Республика Дагестан - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Дагестан - Прочие
06004000;Республика Ингушетия - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Ингушетия - Прочие
06001000;Республика Ингушетия - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Ингушетия - Прочие
06001002;Республика Ингушетия - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Ингушетия - Прочие
06000000;Республика Ингушетия - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Ингушетия - Прочие
06003000;Республика Ингушетия - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Ингушетия - Прочие
06002000;Республика Ингушетия - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Ингушетия - Прочие
06000005;Республика Ингушетия - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Ингушетия - Прочие
06000002;Республика Ингушетия - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Ингушетия - Прочие
06002001;Республика Ингушетия - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Ингушетия - Прочие
06000001;Республика Ингушетия - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Ингушетия - Прочие
08009000;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08000000;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08013000;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08002001;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08015000;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08011000;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08012000;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08014000;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08006000;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08006001;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08002000;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08007000;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08008000;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08005000;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
08003000;Республика Калмыкия - Прочие;Южный ФО;Южный ФО: Республика Калмыкия - Прочие
10014001;Республика Карелия - Прочие;Северо-Западный ФО;Северо-Западный ФО: Республика Карелия - Прочие
10008000;Республика Карелия - Прочие;Северо-Западный ФО;Северо-Западный ФО: Республика Карелия - Прочие
10010000;Республика Карелия - Прочие;Северо-Западный ФО;Северо-Западный ФО: Республика Карелия - Прочие
10000007;Республика Карелия - Прочие;Северо-Западный ФО;Северо-Западный ФО: Республика Карелия - Прочие
10006000;Республика Карелия - Прочие;Северо-Западный ФО;Северо-Западный ФО: Республика Карелия - Прочие
10008001;Республика Карелия - Прочие;Северо-Западный ФО;Северо-Западный ФО: Республика Карелия - Прочие
10000000;Республика Карелия - Прочие;Северо-Западный ФО;Северо-Западный ФО: Республика Карелия - Прочие
10015000;Республика Карелия - Прочие;Северо-Западный ФО;Северо-Западный ФО: Республика Карелия - Прочие
10012000;Республика Карелия - Прочие;Северо-Западный ФО;Северо-Западный ФО: Республика Карелия - Прочие
10001000;Республика Карелия - Прочие;Северо-Западный ФО;Северо-Западный ФО: Республика Карелия - Прочие
